task_id,query,types,revised_types
0,What is distance between flooded house with red car parked outside and last flooded house in the southwest? GSD = 0.015 m/px ,M1,M1
1,Locate the flooded houses with swimming pools and draw box over each of the houses.,D,D
2,Count the number of buildings directly attached to the cul de sac. Are these buildings flooded?,D+M2,D+M2
3,"Are the two cars parked outside flooded house, also flooded?",D,D
4,Count the number of flooded houses in west and east side with respect to road facing north side in the image? And plot the distribution,M2,D+M2
5,Detect the non flooded buildings and how many cars each of the house parked outside.,M2,D+M2
6,"Detect the cars on the flooded road, and estimate the type of each of the car into Sedan and SUV.",D,D
7,Plot the distribution of flooded and non flooded house.,M2,M2
8,Draw a box over a house that is close to water body other than flood and swimming pool.,D,D
9,Detect the flooded house near to cul de sac. Does it has car parked in 10m premisies? GSD 0.015m/px,D+M1,D+M1
10,"Count the houses with swimming pool and with non-swimmingpool, and plot the distribution.",M2,M2
11,How far are the excavators from the container? GSD = 0.015 m/px,M1,M1
12,How many houses are in between the houses with swimming pools?,M2,M2
13,Plot number of houses that are flooded and the ones that are not flooded.,M2,M2
14,How many trees are intact around the radius of 50m of pool? GSD = 0.015 m/px,M1+M2,
15,"Considering the situation of flood, count the houses, is there flood between the houses?",D+M2,
16,Is there no flood around the 2m radius of the each car? GSD = 0.015 m/px,M1,
17,"Given the average price to clean the swimming pool using price per square meter from internet, please estimate how much amount would be required to clean swimming pool in this image. GSD = 0.015 m/px",M1,
18,The white house in northwest corner of the image is flooded or not? is there any water around 10m radius of the house? (GSD = 0.015 m/px),D+M1,
19,Describe the situation by sharing number of houses and cars in the flood.,M2,
20,How many cars are parked around the 3m radius of non-flooded house? (GSD : 0.015 m/px),M1+M2,
21,Can you draw a single box around the largest non-flooded houses?,D,
22,"Considering the dimension of 4592x3072, which side, left or right, has more water?",D,
23,"If there is any truck in the image, is there any swimming pool around 1m radius of the truck? (GSD = 0.015 m/px)",M1,
24,Calculate the area of the largest flooded house and share the area in square meters. (GSD = 0.015 m/px),M1,
25,Can you tell the colors of the cars parked between the non-flooded houses?,D,
26,"What is the average area of the flooded houses in this image, and what would be the estimated cost to fix a house of that size in Texas? GSD 0.015m/px",M1,
27,"Considering each house can have one swimming pool, how many houses do not have swimming pools?",M2,
28,Search average loss for all flooded homes in Texas and share the total loss for all flooded homes.,M2,
29,"Plot the number of flooded houses, the number of non-flooded houses, and the number of cars in the image.",M2,
30,Is it true that no house within 15m radius of the swimming pool is flooded? (GSD = 0.015 m/px),M1,
31,Is there any house around the 5m radius of the electrical transmission tower? GSD = 0.015 m/px,M1,
32,"After checking out cost per square meter to clean, how much would it cost to clean the flooded house? GSD = 0.015 m/px",M1,
33,Is red car and black cars are parked together? GSD is 0.015m/px.,M1,
34,"Inside the area of all flooded houses, how many cars are parked?",M2,
35,Is the red car parked in a dry area within 5 meters around it? GSD = 0.015 m/px,M1,
36,How much it'll cost to clean all the swimming pool by checking the cost per square meter in Texas? GSD = 0.015 m/px,M1,
