task_id,image,query,type_annotator,notes
2,image/7584.jpg,Count the number of buildings directly attached to the cul de sac. Are these buildings flooded?,D+M2,
8,image/7605.jpg,Draw a box over a house that is close to water body other than flood and swimming pool.,D,
20,image/7294.jpg,How many cars are parked around the 3m radius of non-flooded house? (GSD : 0.015 m/px),M1+M2,
21,image/7323.jpg,Can you draw a single box around the largest non-flooded houses?,D,
24,image/7543.jpg,Calculate the area of the largest flooded house and share the area in square meters. (GSD = 0.015 m/px),M1,
25,image/7423.jpg,Can you tell the colors of the cars parked between the non-flooded houses?,D,
29,image/6717.jpg,"Plot the number of flooded houses, the number of non-flooded houses, and the number of cars in the image.",M2,
33,image/7370.jpg,Is red car and black cars are parked together? GSD is 0.015m/px.,D,
34,image/7359.jpg,"Inside the area of all flooded houses, how many cars are parked?",M2,
45,image/7339.jpg,"Considering the dimension of 4592x3072, which quadrant has more cars?",M2,
46,image/7301.jpg,The non-flooded house is in the southwest corner of the image?,D,
48,image/7300.jpg,Plot the areas of each of the swimming pools. GSD = 0.015 m/px,M1,
55,image/midwest-flooding_00000017_post_disaster.png,Is there any house with swimming pool are majorly-damaged?,D,
67,image/santa-rosa-wildfire_00000206_post_disaster.png,What is the average area of all the no-damage buildings in the image? GSD 1.88m/px.,M1,
68,image/santa-rosa-wildfire_00000212_post_disaster.png,How many buildings are destroyed between the area of no-damage buildings?,M2,
71,image/guatemala-volcano_00000003_post_disaster.png,"Detect all buildings that look minor damage, and is there any path or road between them.",D,
77,image/hurricane-florence_00000119_post_disaster.png,"How much area is majorly damaged, while counting the buildings in the image, GSD 2.1m/px",M1+M2,
83,image/hurricane-harvey_00000127_post_disaster.png,Locate largest building damaged due to hurricane-harvey. Is there playground present in flood water around the building?,D,
85,image/hurricane-harvey_00000185_post_disaster.png,"Identify two damaged buildings with white rooftop, and estimate distance between them. Using GSD 3.02px/m.",M1,
87,image/hurricane-harvey_00000504_post_disaster.png,Identify the buildings that were not damaged by Hurricane Harvey. Is it true that at least one of these buildings has no cars parked outside?,D,
88,image/hurricane-michael_00000019_post_disaster.png,Detect building with red rooftop near waterbody. Is this building damaged?,D,
89,image/hurricane-michael_00000256_post_disaster.png,"Detect the damaged building in the image, located near road and draw box over it?",D,
92,image/P0036.png,What is the color of the smallest car in the image?,D,
96,image/P0050.png,"Can you write on image, the distance between each car in meter using gsd: 1.0686",D+M1,
100,image/P0070.png,How many cars are moving in a southeast direction?,M2,
108,image/P0137.png,Can you draw bounding boxes around the two cars that are farthest apart from each other?,D,
109,image/P0137.png,"Based on the cars' directions, can you plot a bar chart showing the number of cars heading in each direction?",M2,
121,image/P0214.png,How many cars are there and are all of them traveling in the southwest direction?,D+M2,
123,image/P0219.png,"What is the area of the swimming pool in the image, based on ground sample distance of 1.6958243?",M1,
125,image/P0239.png,Can you describe what's happening in this image and count the number of cars?,D+M2,
127,image/P0269.png,"Can the red car safely switch lanes given a clear 200-meter radius? If not, please share how many vehicles are nearby. (gsd 0.94756464)?",M1+M2,
129,image/P0298.png,"Based on the orientation of the vehicles, how many distinct roads are there?",M2,
131,image/P0327.png,How many cars are currently on the road in this image?,M2,
143,image/34684766_36662066.jpg,"Identify destroyed buildings in the image and compute average area in square meters, assuming a ground sampling distance (GSD) of 0.5 meters/pixel. Finally, annotate the image with this average area value.",D+M1,
148,image/34731603_36662703.jpg,Identify the destroyed building and estimate the ratio of partially destroyed and fully destroyed,M2,
153,image/1.png,"Detect the houses around the cul-de-sac, draw the box on each of the house.",D,
154,image/1.png,Count the total distance between two zebra crossing using GSD 0.7 m/px.,M1,
159,image/1253.png,Is there any red car on the bridge and is it maintaining a safe distance from the car in front of it? Cars moving at 70mph need to be at least 63 metres (threshold) behind the vehicle in front to achieve a safe 2 second overall stopping distance. Assume the GSD is 0.8m/px.,D+M1,
170,image/33.png,"Detect the houses with red rooftop. Using GSD 1.2m/px, calculate the area.",M1,
174,image/59.png,Are the two cars approaching zebra crossing maintaining the safe distance? Assume GSD is 0.5 px/m and threshold for 70mph is 63 meters.,M1,
189,image/001.jpg,"Detect white plane, and estimate the orientation (nose-to-tail heading in degrees relative to the north).",D,
196,image/009.jpg,Detect the smallest plane on the runway and draw a box on it.,D,
198,image/017.jpg,"Detect all planes and storage tanks, and plot the distribution?",M2,
200,image/092.jpg,"Detect the smallest baseball diamond, and draw box on it.",D,
204,image/132.jpg,Is the match going on in the soccer filed?,D,
205,image/133.jpg,Estimate the combined surface area of the basketball courts in square meter assuming 1.1m GSD.,M1,
